,Test_set,Actual Values,Predicted Values
10509,clint eastwood would star battle weary detective harry callahan would also direct fourth entry dirty harry series sudden impact like additions brings distinguishable style tone anything probably similar original darker seedy moments bestowing classic line ahead make day humor seen believe bulldog named meathead pisses farts yeah however interesting fact entry one series set entirely san francisco story follows detective callahan trying put pieces together murder victim shot groin eyes getting trouble office superiors causing stir crime lord thugs blood hes ordered take leave falls working one heads coastal town san paulo murder occurred similar vein bullet groin eyes case begins dig dirt leads idea someone looking revenge honest wasnt crash hot eastwoods take many repeat viewings virtually grown point probably par first sequel magnum force well assembled plot actually gives eastwood another angle work upon even though feels like sophisticated take vigilante features running rampant time quite literal something punishing luridly damaging like hes experimenting noir thriller touches character driven traits help develop emotionally bubbling eventual morality framework use images lasting due slickly foreboding atmospherics dark tones brooding lighting like scene towards end akin western showdown silhouette figure harry new automag handgun moving way towards stunned prey fishing docks striking sight builds fear mixing hauntingly cold plain brutality dash humor seemed come major plus films dialogues wouldnt call sudden impact first rate provides ample biting exchanges memorably creditable lines youre legend mind dont love hearing harry sparking amusing quip pulling piece beating action occurs excitingly jarring intense way pacing flies little way flat passages lalo schfrin would return composer enforcer jerry fielding scoring bringing methodical funky kick still breathed gloomy cues texturally breezy score clicked get bruce surtees eastwood regular gets job behind camera piecing job dirty harry gives film plenty scope wonderfully framing backdrops impeccable tracking scenes also instrument edgy angles within dramatic moments eastwood dinosaur callahan still packs punch going beyond steely glare get job done probably showing little heart one would expect younger callahan going sudden shift plot turn harrys quest justice badge even though doesnt always agree found odd real change heart across stupendous performance beau time sondra locke turn traumatic torment senselessly raped along younger sister hidden glassily quiet intensity anger released tactically accurate outcome paul drake perfectly menacing filthy one targeted thugs audrie neenan nails repellently scummy big mouthed performance people truly ugly bunch saps pat hingle sturdy chief small coastal town smaller parts bradford dillman agreeably potent albert popwell regular series different characters forget dirty harry yes bank robber thats end trademark quote feel lucky well punk,1,1
21722,note self film foreign obscure stars catherine zeta jones doesnt mean good case blue juice brit flick unlikely group surfing enthusiasts would seem dumb american anyway even unlikely place find surfers cornwall england might thinking makings amusing quirky little comedy film bit ninety minutes seems interminable easiest way describe sort british version grease without dancing even makes sound better best way take little slice life set small town catherine zeta jones plays chloe young woman living surfing instructor sean pertwee remember pertwee actually films star character something surfing legend small group surfing devotees requisite oddball group free spirits inevitably inhabit films like case consists drug dealer wants journalist former nightclub wants record producer fat nerdy guy needlessly extended scene gets stoned loses inhibitions course turns best thing ever happened cant honestly say everything goes blue juice predictable since set place reflects customs manners familiar theres certainly nothing surprising even interesting takes place characters comedy though predictable tired one sense set ups mile away almost recite dialogue american form course actors relationship chloe every bit hackneyed wants grow wants stay impetuous teenagers started hes afraid losing face gang thinks prefers get idea struggled stay focused blue juice toward end felt saying goes hour half life never get back,0,0
21404,spoilers people claim natural born killers brilliant criticism media obsession violence contention ignores actual content film oliver stone could shown serial killers vicious inhuman murderers innocent people contrasted morbid media fascination instead lends justification movie portrays every victim someone deserved hurt engaging vicious stereotyping stone presents victims unpleasant caricatures dumb rednecks broken english speaking immigrants lazy fat people one person homicidal lovebirds also stereotype course befriend old hallucinogen using american indian theyre trendy dude lets make admirable character fat chinese clerks hicks uncool lets make seem like deserve die instead twisted hateful corrupted misdeeds rampage makes happier love mickey mallory made sexy cool surreal visuals bound entice impressionable people justice mocked police prison officials portrayed brutal ugly scowling compared murderers media reports within film reality film nuance subtlety film overblown performances visuals film says nothing new specific obsession violence proof film fails message lies actual real world reactions impressionable young people saw movie cited inspiration murders committed films message failure inspires people opposite direction horrendous real life results clever message nowhere seen,0,0
23465,disappointing film story established protagonist chrissy young rather sullen individual drifting much actually little move narrative along didnt surprise see focus shifting relatives pity though chrissy seem like interesting character story predictable times felt quite formulated question going see campions jacksons tamahoris breaking ground compelling cinematically told stories inspire rather entertain toll two hours technically disgusting shot film,0,0
19919,another priyadarshan vohra flick another movie seen rather actual desire reason see movie fact regulars movie akshay paresh many others needless say low expectations movie happy casting general except rajpal yadav annoys limit however extract laughs standard slapstick non original jokes fact whole movie like playing dhol mean takes hardly talent make loud noise even play odd good beat dhol small time carry different beats nice sequential manner extended period considered great brings instrument dumroo hardly requires talent variations may enjoyable monkey dances hmm sounds like rajpal yadav good analogy instrument entertain long even get dancing like dhol movie like dhol dumroo played sometimes dhol played sometimes dumroo sometimes together mostly dumroo played alone monkey danced like year old sooner later got bored movie good dhol good moments heard annoying dumroo entertaining initially tolerable irritating large ordinary parts really ensure movie mainly good funny clips mere bhains anda kyun mara havent watched watch filmy comes evenings really quite funny movie moments actors fine job except rajpal yadav act though ive seen main meri patni annoys entertains ive said many time ill say really think sharman joshi tushar kapoor fine career ahead multi star comedies especially scenes really funny aborted attempts impress girls father zany attempts woo girl take away failed attempt make movie much mystery added mean girl following mins increasingly torturous climax bad almost good category mean thinking tense ending least make attempt make palatable movie also extremely predictable theres hardly scene cant predict wont breaking spontaneous burst laughter like see coming almost start laughing gag movie follows gradual decline throughout movies except odd bump rapidly tumbles downhill made friends girl really bad scenes towards end one movie tries run mill comedy also many jokes stale reeked repetition last especially distatefull completely spoils movie didnt find tanushree datta quite siren play acting talent serious question especially view non appealing looks cant hot cant act much time survive technically also movie weak constant female gaze shoddy lighting camera work songs except title track good either songs played half could feel collective gasp audience movie thats ordinary merely cast low expectations avoiding wont bad idea watched watching free cheap matin something must pay full multiplex rates feel disappointed lots stale jokes rajpal yadav last mins last mins especially bad technically bad songs tries regular cast happier tanushree datta good scenes towards beginning title song good acting cast except total trying objective dont like rajpal yadav tanushree datta movie meet low expectations giving benefit doubts absolute terms movie,0,0
21306,reading first reviews imdb enthusiastic movie really awful movie total time see alien minutes rest movie cheap suspense acting top story boy story story doesnt seem direction first capture alien years finally succeed dont know years even want release hell capture girlfriend whos acting top wants walk away madness suddenly doesnt doesnt come conclusion killing alien kill whole human race remember years human seen permanently settled aliens torture blow bunch aliens peaces first review imdb lazy person doesnt write soon listen warning move worth time dont watch movie,0,0
7089,may seem like overstatement hard comprehend didnt make musical shorts like wasnt beauty totally apparent everybody involved guess many shorts made commercial reasons luck may artistic value one exception one seems director vision clearly could appreciate music art didnt anybody ever think shoot lester charlie parker live date crazy man pity sequels youve seen anything similar quality please share,1,0
4420,voted excellent well acting content still gives chills reading book watching movie two cons traveling destination rob family money safe one cons learned prison ride tension begins mount soundtrack movie adds overall anticipation killers done work farm following morning familys remains found daughters church friend blood curdling scream scene pans onto telephone cut cord really made blood run cold gave chills killers met fates small comfort doomed family robert blake excellent portrayal perry smith book also excellently written truman capote,1,1
15543,iraq right job gives plenty time watching movies also access plenty pirated movies gem came along movies easily worst ive seen long time ive seen reviews claim movie doesnt take seriously really think thats cover fact horrible tongue cheek writers really thought improving movie blade movie one notch vampire assassin havent seen recommend least movie unbelievably bad youll laugh harder thought possible right cusp redeeming qualities ever bad acting clich visual opening credits adobe premier special effects couldnt even get blanks guns may movie filmed youre going use effects make close accurate cast seems like went tae class first ugly chick walked like ron hall vampire assassin dont let stunt folk act cant also comment return old vampire movies exactly new vampire movies buffy vampire slayer blade underworld theyre super star fighting vampires newest vampire genre bad blood fake screams cheesy acting obviously anyone wrote good review somehow connected movie friends cast care paid cents anyway wrap someone first semester film school decided make movie give credit better could course also know cant make movies dont try know watch movies though work hour nights days week ive seen several thousand year ive bad half way hoping mortar attack,0,0
8539,ingrid bergman temporarily impoverished polish countess paris finds pursued frances popular general glamorous count thats top engaged shoe magnate failproof premise entrains one delirious plots movie history backroom political machinations generals handlers downed balloonist ecstatic bastille day throngs heart gorgeously photographed film frantic upstairs downstairs intrigues involving randy servants slightly restrained aristocrats yes rules game redux even gaston modot jealous gamekeeper rules puts appearance gypsy capo less things happen little thick fast toward end resulting confusion non french speaker heck elena men another deeply humane renoir masterpiece,1,1
8975,gena rowlands plays actress loses grip reality witnesses death fan becomes increasingly deluded reality result emotional turmoil intrudes work actress sense breaks rules acting improvises everything yet still manages engage audience makes film interesting bit self important parallel cassavettes struggles filmmaker theres many ideas thrown around result becomes bit muddled still pondering relation dead fan rowlands among many things way theyre presented rawest form makes consistently interesting thought provoking film would great double bill mulholland drive,1,1
20842,well maybe version game impressive maybe finished playing version pretty much complete mess couple elements okay promising ill mention first quickly first idea historical gta like game great one game gun historical gta like game unlike mafia gun excellent love see game set mafias era done right next storyline well written story makes sense dramatic arcs uses unusual device much game backstory interesting finally graphics especially used cutscenes impressive mafias designers seemed focus getting graphics right places gta skimped effort especially characters unfortunately many areas graphics kinda stink much rather excellent gameplay impressive looking characters gameplay sinks title low first controls camera absolutely suck first focus game developers cant release game controls camera suck number one theres reason players character tom cant full range motion controlled left analog stick unless absolutely necessary hardly ever hate set left stick moves character strafing way character turn using right analog stick unnecessary makes simplest actions challenge example tom climb couple missions game designed poorly frustratingly keep manipulating right analog stick camera press every time need climb tom descend instead next ive never seen worse fighting system first problem cant auto aim lock targets one early point game seems tell use lock targets never worked focus enemy struggle stupid right analog stick try keep adjusting characters orientation camera tends drift wrong angle make tom disappear time time youre probably getting pummeled shot death next youre touching almost touching enemy thats certainly going case hand hand combat using melee weapons fighting system primarily consists tapping holding completely useless enemies pummel almost bear hug cant move unless back close fighting tends consist yanking left analog stick yelling character move away wont time tapping much enemy gets close makes useless enemy changes angle meantime youre also going struggle right analog stick get character oriented right way get camera position see anything time youre probably getting pummeled shot option try move character away fights often consisted making tom run circles around area like comedy film hoping could gain enough time struggle analog stick get couple shots ais mercy much realistic fighting problems exist trying fight guns youre touching someone half time controller wont allow fire shot yet still riddle full holes additionally theres auto aim aiming system ridiculously sensitive even sensitivity set zero options gunfights tend consist hopelessly trying aim move away enemy puts shot shot luckily damage seems recorded almost randomly take one ten shots incapacitate character theres rhyme reason put five shots enemys head near point blank range theyll still return fire hurt yet game designers seemed care enough realism built recoil aiming system shots powerful enough guns aim float target youll fight celebrated graphics except characters textures youre close theyre actually pretty disappointing distance always seems mostly empty often expanses flat colors textures nearby youre driving city wasnt well designed varied enough arent many interesting things see cars seem slow theyre difficult control also drive mentioned music also pretty nondescript much better job could done end also many others mentioned load times ridiculous constant tend minute long occur middle everything even races overall mafia port least seems rushed game feels plays like incomplete hack job,0,0
16398,life get would want make movie jerry springer show incrediably trashy ways sadly guilty pleasure admit weve seen least one episode part pop culture saw usa recently pretty bad admit jerry horrible job think meant acting something like jamie pressley shes playing basically needed lover boy kid rock wouldve perfect would recommend skipping ringmaster watch jerry springer show enjoyable,0,0
12242,takashi miikes incursion kiddie territory almost immediately demonstrates nerve bravery dealing fantasy elements fairy tale dares dark even kid thought something sinister fairy tales horrible things happen people childrens books miike understands classic tales bit scarier disturbing appear first glance filmmaker takes archety story kid wondrous quest preschool classroom accentuates real fears world filled never ending hazardous missions westerners like downplay seriousness behind bedtime stories written specifically kids appreciated fact miike honest american filmmakers goes jugular story also shows signs restrain self possessed miike still stranger filmmakers thought great film highly recommended,1,1
11221,legendary director sidney lumet gives one finest films historic career tense ultimately shocking story family includes dysfunctional one children list cast headed philip seymour hoffman oscar worthy performance ethan hawke marisa tomei albert finney lumet captured elements botched crime stories reservoir dogs also family stories ordinary people many viewers might confused feel underwhelmed construction plot lumet gone instead showing linear manner gone tarantino route shows central scene robbery gone wrong different points view order personally found satisfying left constantly guessing going happen next script strong excellent scenes husband wife hoffman tomei well father son finney hoffman actors totally engaging watch lumet obviously fun directing style usually doesnt delve plenty action suspense hold audience two hour running time rare movie doesnt disappoint one moment,1,1
10042,much expert acting movie details movie hit deep dont think ill ever forget one scene especially think anybody seen film know one speaking imprinted brain also watched similar movie lilja ever referred previous commentator also moving quite straight point brutal sensitive either bring tears eyes anjos sol angels sun may stay forever depressing subject matter think hope film succeeds bringing attention people need see film,1,1
10774,always huge fan homicide life street heard reunion movie coming couldnt wait let say disappointed one powerful hours television ive ever seen great see everyone back biggest pleasure andre braugher back relationship pembleton bayliss always strongest part together great show,1,1
23923,payback game played drama revenge plot undone absurd story line sets stage fireworks come later would man become involved trophy wife ruthless mob boss gangsters mansion sus henchmen around would unhappy wife encourage attentions complete stranger expect carry away leave husband boredom behind live happily ever new love surely hero kevin costner must expected reaction cuckold husband gives movie excuse indulge senseless gore violence anthony quinn great actor surely deserved better madeleine stowe tragic figure suffers greatly latches prince charming stowe okay spanish accent doesnt work cameos lesser players good especially miguel ferrer john leguizamo sally kirkland interesting fading rock star,0,0
4059,must warn spoilers start got spanish judges february think mention last copy see wasnt back ordered either way thought good wanted see mainly great actor matthew lillard surprised one reviews mention scar although kind low budget getting enough money make film would worth spending man good actor story con artist known jack matthew lillard claims merchandises called spanish judges dont know spanish judges havent seen trailer first review read wont even say figure would big twist one knew needs protection hires couple also crooks max jamie vincent donofrio valeria golino well crook goes name piece mark boone junior girlfriend wont even tell anyone name shes mars said mainly jack call mars girl everything starts fine turns one big game game involves lust lies betrayal acting matt valeria well tamara one scenes couldve done better score couldve little better well score actually good theme used beginning end credits good song choice thats opinion fight scene end couldve little longer little violent one comment matt damn plays smooth slick con man know review need make correction towards necro one reviewers valeria golino newcomer according site acting since hopefully others well known charlie sheens italian love interest hot shots movies good review although think one rare films ive seen really good gave stars give grade thought first saw,1,1
19907,three russian aristocrats soak decadence monte carlo despite fact last franc order support lavish lifestyle three use services counterfeiter use notes casinos hoping exchange bogus currency jackpot andrew hughes envoy arrives monaco wife helen three decide make pals visitors hoping financial assistance one three russians count sergius karamzin plans continuous advance towards helen disappointing counts maid loves sergius eventually circumstances play hand three aristocrats obvious von stroheim trying convey message foolishness american women improper behaviors aristocrats rather tell story film really bore modern audiences like easily even acting great later evs like greed wedding march run mill film could used improvements various levels rating,0,0
17861,even saw movie teenager wondered ironic pia zadora starred movie artist slept way top beautiful sexy zadora even couldnt keep sorry ass excuse movie tanking even photoshoot penthouse lonely lady promoted back day could keep movie tanking thing could saved movie completely different script give one miss,0,0
21867,dont get wrong enjoy christmas movies love wonderful life really enjoy versions christmas carol george scott alistair sim particular movie awful think love life song ghost christmas present sings especially painful albert finney sings fairly well annie dont know whats wrong movie sounds though someone trying sing mouthful dead gerbils thing saved movie shutting sound watching dance numbers accompanied south park christmas,0,0
17516,idea audience director george schlatter hoped sell comedy ills redd foxx central role enough pimpy outfits polyester carpet entire norman plays like blaxploitation combined number silly sitcom episodes involving comic misunderstandings mention elongated cameo waylon flowers based play sam bobrick ron clark tale estranged married couple foxx pearl bailey learning hard way son secretly gay living mincing prancing white homosexual enough limp wristed jokes shame early episode threes company bailey keeps dignity foxxs sheer confusion good couple chuckles rest performers humiliated,0,0
22432,anyone giving movie good review obviously must something creation movie painful suckfest acting stiff stock generic soundtrack laughable direction bland strangest teacher really isnt attractive making students blatant advances awkward creative minds behind trash disband spread prevent displays concentrated craptitude certain starving kids africa could used money squandered project hell funds would also seen enlightened purpose fueling crack addict least someone would getting entertainment sole reason didnt give terminal illness ill give film two,0,0
10886,good american pie erick stifler goes college buddy cooze arrival meet erics cousin dwight two pledge become betas along way get involved whole lot sex tits hot girls along way words lot sex nudity alcohol good movie want enjoy american pie movie granted isnt great first three good movie enjoy hot girls really nice tits get movie enjoy seeing bunch dudes making assholes movie want see full thing get unrated addition one last thing better attempt last two american pies,1,1
10788,gundam wing fun show appreciate getting gundam anime general however watching predecessors mobile suit gundam zeta gundam even gundam find wing gundam lite characters aspect long held gundam characters thrust difficulties grow maturity happen wing heero top dog beginning hes top dog end personalities change growth never achieved best character zechs intents purposes hero throughout series suddenly series betrays turns villain apparent reason mecha wing great suit designs gundams super cool epyon favorite even consider suit designs par classic zeon suits sweet suit designs doesnt quite save series boring characters conclusion end wing cool fight scenes though riddled recycled animation shallow plot character development enjoyable moving like previous gundam outings,1,1
608,director vincenzo natali first showed penchant character based sci flicks short film elevated wherein people remain trapped elevator unseen monsters roam building follow feature project cube released later year similar premise time people instead elevator vast expansion interlocking cubic deathtraps admirable attempts take sci genre step deliberately declining show almost visual stimulation choosing instead spend much time possible focusing human element characters act react interact incomprehensible dangerous conditions exploration mainstream cypher natali come back bizarre character film trend bring nothing latest far optimistic comedic take wide cinematic world dave david hewlett andrew andrew miller life long friends brought together mutual detachment society lack one else dave always hindered selfish somewhat dimwitted nature lives rent free andrew ill located ill constructed house often takes advantage andrews neurotic antisocial mentality despite two misfits happy together one day deep character flaws coupled astronomically bad luck land middle pretty serious jail sentence worthy trouble top discover house deemed unfit existence scheduled demolished sunset hazy nightmarish panic everything going wrong wish whole world would disappear going synopsis would compromise lot films slow occasionally slow reveal whats happened dave andrew deal new reality natalis fascination studying human behavior duress ala birds spades simply making main characters friends rather strangers hes able break away thriller horror element premise open comfortable optimistic level almost hes made aphoristic opposite cube course film minutes laughter sunshine keeping fundamental realism two anti heroes dynamic often becomes antagonistic sometimes rather nasty results like desert island game film looks even best friends left alone together fall apart time shows friends vital quality existence twisted sci way feel good flick good heart good intentions however qualms nothing two lead actors hewlett miller well parts characters nearly interesting considering completely entertain better part hour development relationship personalities dave andrew background given ultimately enough generous viewer sit less engaging portions film see end cynics probably give pretty fast acting mentioned adequate considering amount green screen work wouldve needed reasonably convincing david hewlett andrew miller wrote wrote screenplay long time friends vincenzo natali hewlett fact featured every film natali made perhaps creative input steered film positive direction nonetheless story could lot involving granted relatively entertaining considering pun intended nothing really happens get impression experienced hands lot couldve done premise fairness nothing impressive piece work many ways concept interesting direction inventive script works human level shows progression natalis creative mentality fans work delight others nice way pass little unwanted time shame directors fixation human drama prevented great fun film could,1,1
14066,scary mostly sense turn saw late night run thought would never end like crackers better nothing ray milland little scary looks hes stuffed taxidermist yvette mimeux looks shes smoked beautiful downtown burbank brown sort roy rogers version rosemarys baby one turkey never made insomnia saturday morning theres nothing replays roller derby chamionship guess beats god help choice entertainment,0,0
10573,brown harvard hard movie pin expect lot movies days helps remember audiences bit innocent william haines charming rogue stumble pain humiliation find success even glory relationships movie feel stilted except homoerotic tie billy jack town nerd movie everything romance tears love death even sports great education society changed century,1,1
9016,possible spoilers one reason saw movie massive crush richard belzer dont know much humor part funny like barbie ken spoof dealers president skit mind sometimes raunchy dare say crude times funny could better probably spent time humor less time getting women undress movie would funnier skits make want gag cringe others skits make laugh oddly enough think sadly movie dated mad crush richard belzer worth worth checking seeing chevy chase,1,0
20279,dont usually comment things need said start acting jeremy londons part horrible didnt think could bad plot could good well directed along good solid performance lead actor unfortunately one movies read think great potential entertaining get disappointed start well least got good laughs wouldnt waste time,0,0
4511,documentary incredibly thought provoking bringing lives two long time lovers final stages aids past footage twenty odd years together really brings final moments home movie doesnt make feel pain agony two fascinating people dont heart,1,1
8439,grew watching loving cartoon every year didnt think would able take half hour min cartoon make movie flying colours fabulous funny heart warming effective movie,1,0
9369,perfect series family viewing gather around watch bbc america date version robin hood appeals children adults alike teenager tween ager enjoy sitting mom dad watching robins next exploits cant wait next episode air week glad free demand viewing wardrobe spot current fashion moral story entertaining violence top needless soundtrack absolutely fantastic john williams feel old world tale brought life new world flair much garbage television brain rotting reality senseless violence take updated robin hood compared movie exploits errol flynn gem enjoyed parents concerned children watching much violence enjoy robin lost taste war bloodshed robin hood would rather attempt reason way disagreement fight maid marian also appealing role model young girls rather stand nothing takes role helping poor night watchman sheriff nottingham deliciously top wicked sheriff looks like cross billy joel tim curry guy gisborne played extremely handsome actor one makes women wish didnt portray role bad guy question friar tuck,1,1
21408,failure movie good humor year olds even giggle mean sure parts amusing lindsey lohan great actress bad singer working better movies movie aired disney channel original movie free thing well done movie music nothing like remade rock soundtrack brighten day songs good especially alyson amandas walking sunshine caleigh peters beach boy song fun fun fun gave ten would music movie worth money soundtrack,0,0
